state,writer,reader,write_cycle,next_read_cycle,dependency_type,distance,required_order,can_overlap,reason,risk_if_ignored,source
state.rob.entries,"branch kill; LSU metadata/completion; allocate; execute completion; commit",branch/LSU/commit and index reuse,k,k+1_or_L,TRUE_RAW+WAR+WAW+MEMORY_PORT,1_or_L,"all reads of generation k before invalidation/reuse; dynamic indices remain ordered",NO,"ROB fields have dynamic-index aliasing and multi-module writers","retire wrong uop, lose exception, or corrupt memory transaction","src/branch.cpp:154-170; src/rob.cpp:21-31,46-50; src/lsu.cpp:49-176; src/commit.cpp:37-98"
state.issue.alu_iq,"branch kill/compact; issue wakeup/enqueue/select/compact",next branch and issue,k,k+1,TRUE_RAW+WAR+WAW+CONTROL+MEMORY_PORT,1,"branch cleanup -> wakeup -> enqueue -> select -> compact -> next iteration",NO,"persistent queue entries and dynamic count/tail are mutated in multiple passes","issue killed/duplicate uop or drop queued uop","src/branch.cpp:76-103; src/issue.cpp:15-23,37-73"
state.issue.issued_uops,"branch cleanup; issue grant",execute in k and branch/issue in k+1,k,"k execute; k+1 branch/issue",TRUE_RAW+WAR+WAW+CONTROL,1,"issue write(k) -> execute read(k) -> branch read/kill(k+1) -> overwrite(k+1)",NO,"issued result is retained stage state","execute wrong or killed instruction","src/issue.cpp:30,66-70; src/execute.cpp:17-24; src/branch.cpp:98-103"
state.execute.alu_results.branch,execute,branch resolver and next execute overwrite,k,"k+1 branch; k+1 execute",TRUE_RAW+WAR+WAW+CONTROL,1,"execute write(k) -> branch read/recover(k+1) -> execute clear/write(k+1)",NO,"branch resolution is intentionally one iteration after execute","lost redirect, late/wrong flush, or stale branch resolution","src/execute.cpp:14,32-59; src/branch.cpp:258-275"
state.execute.alu_results.memory,execute,LSU and next execute overwrite,k,"k+1 LSU; k+1 execute",TRUE_RAW+WAR+WAW+CONTROL,1,"execute write(k) -> LSU consume(k+1) -> execute overwrite(k+1)",NO,"memory address/type/result crosses processor cycles","lost or duplicated load/store","src/execute.cpp:14,62-69; src/lsu.cpp:160-170"
state.lsu.next_transaction_id,"LSU load issue; commit store issue",next load/store request,k,k+1,TRUE_RAW+WAR+WAW,1,"LSU increment before commit increment; both before next request",NO,"two ordered producers share one persistent ID","duplicate/reordered transaction ID","src/lsu.cpp:49-71; src/commit.cpp:53-68"
state.lsu.load_pending,"LSU request/response; branch recovery",LSU issue gating and response match,k,k+1_or_L,TRUE_RAW+WAR+WAW+CONTROL,1_or_L,"request metadata stable until matching response or branch cancellation",NO,"single outstanding load state spans variable external latency","response applied to wrong ROB entry or duplicate load","src/lsu.cpp:49-71,132-157; src/branch.cpp:124-128"
state.lsu.ldq_stq,"LSU enqueue; branch kill/compact",future enqueue and branch recovery,k,k+1_or_N,TRUE_RAW+WAR+WAW+MEMORY_PORT,1,"branch recovery compaction before enqueue; count/tail updated serially",NO,"queue contents and occupancy persist","queue corruption, overflow, or killed memory uop retained","src/lsu.cpp:75-123; src/branch.cpp:114-151"
state.brupdate,"step pulse clear; branch resolution",frontend/LSU/issue/execute then next pulse clear,k,"k consumers; k+1 clear",TRUE_RAW+WAR+WAW+CONTROL,1,"clear(k) -> branch write(k) -> all consumers(k) -> clear(k+1)",NO,"one-cycle branch update pulse is shared control","redirect or kill pulse cleared before consumption","src/boom_core_step.cpp:21-23; src/branch.cpp:265-272; src/frontend.cpp:24-25; src/lsu.cpp:164-165; src/issue.cpp:40-45; src/execute.cpp:20-21"
state.csr.cycle,csr_module,csr_module and scalar output,k,k+1,TRUE_RAW+WAR+WAW,1,"increment once per completed logical iteration before output",NO,"reported processor-cycle counter is a recurrence","wrong io_cycle or more than one increment per transition","src/csr.cpp:5-9; src/boom_core_top.cpp:35-40"
state.csr.instret,rob_commit_module,rob_commit_module and scalar output,k,k+1,TRUE_RAW+WAR+WAW+CONTROL,1,"retirement increment -> output -> next retirement",NO,"retirement counter must match commit order","wrong io_instret or trace/counter divergence","src/commit.cpp:37-98; src/boom_core_top.cpp:35-40"
state.int_rf,"LSU and execute writeback",execute operands and commit trace,k,k_or_k+1,TRUE_RAW+WAR+WAW+MEMORY_PORT,1,"write data before busy clear; reads before physical register reuse",NO,"dynamic RF indices and scoreboard feedback are real","RAW/WAR corruption or wrong committed value","src/lsu.cpp:145-149; src/execute.cpp:23-24,76-79; src/commit.cpp:43-44,80"
state.io_success_trap,"step clear; commit set",top scalar publication and next clear,k,k+1,CONTROL+WAR+WAW,1,"commit set(k) -> output(k) -> clear(k+1)",NO,"status values are pulses rather than sticky state","termination/trap pulse lost or repeated","src/boom_core_step.cpp:21-23; src/commit.cpp:41-48; src/boom_core_top.cpp:35-40"
pipe.imem_req,frontend,top output bridge and future frontend full check,k,k_or_k+1,STREAM_BACKPRESSURE+TRUE_RAW,1,"frontend FIFO write -> ordered AXIS transfer -> future fullness",ORDERED_ONLY,"request token order and FIFO occupancy are observable","duplicate/reordered fetch request or deadlock","src/frontend.cpp:53-63; src/boom_core_top.cpp:28-29"
pipe.imem_resp,top input bridge,frontend,k,k_or_k+1,STREAM_BACKPRESSURE+TRUE_RAW,1,"AXIS response acceptance -> FIFO write -> frontend read/match",ORDERED_ONLY,"new response can be consumed in the same logical iteration","stale/wrong response consumption","src/boom_core_top.cpp:21-22; src/frontend.cpp:66-75"
pipe.dmem_req,"LSU load; commit store",top output bridge and future producer full checks,k,k_or_k+1,STREAM_BACKPRESSURE+TRUE_RAW+WAW,1,"LSU write before commit write; FIFO order before AXIS transfer",NO,"two ordered producers share one FIFO and one transaction counter","load/store request reorder, loss, or duplicate","src/lsu.cpp:52-65; src/commit.cpp:53-68; src/boom_core_top.cpp:30-31"
pipe.dmem_resp,top input bridge,LSU,k,k_or_k+1,STREAM_BACKPRESSURE+TRUE_RAW,1,"AXIS response acceptance -> FIFO -> pending-ID match",ORDERED_ONLY,"response token must match persistent transaction state","wrong load completion or response drop","src/boom_core_top.cpp:23-24; src/lsu.cpp:132-157"
pipe.commit_trace,rob_commit_module,top output bridge and future commit full check,k,k_or_k+1,STREAM_BACKPRESSURE+TRUE_RAW,1,"commit trace enqueue -> ordered AXIS acceptance -> future occupancy",NO,"retirement can currently continue when internal trace FIFO is full; external stall blocks wrapper completion","missing/reordered commit trace or counters advance without observable commit","src/commit.cpp:74-98; src/boom_core_top.cpp:32-33"
external_output_backpressure,"blocking imem/dmem/commit AXIS writes",next CORE_CYCLE iteration,k,k+1,STREAM_BACKPRESSURE+CONTROL,1,"all state mutation(k) -> all blocking outputs(k) -> scalar publication(k) -> iteration(k+1)",NO,"conservative source does not start the next transition until output acceptance","state transition repeats/advances while prior output is stalled","src/boom_core_top.cpp:26-40,72-81"
