state_group,classification,runtime_reset_behavior,representative_rtl_evidence,gate3_8_implication
"rename free-list pointers/count",RESET_INITIAL_ONLY,"head/tail/count survive reset","boom_core_top_boom_core_cycle_io.v:2113,2126,2132,8719-8721,23412-23428,23486-23490","free-list ownership can disagree with restarted control"
"rename free-list storage and busy table",RESET_INITIAL_ONLY,"RAMs are initialized by readmemh and ignore reset","boom_core_top_boom_core_cycle_io_state_rename_int_free_list_free_list_RAM_AUTO_1R1W.v:17-35; boom_core_top_boom_core_cycle_io_state_rename_int_free_list_busy_table_RAM_AUTO_1R1W.v:20-46","busy producers and free registers can remain stale"
"branch snapshots and allocation lists",RESET_INITIAL_ONLY,"snapshot and allocation-list RAMs ignore reset","boom_core_top_boom_core_cycle_io_state_rename_int_map_table_br_snapshots_RAM_AUTO_1R1W.v:17-35; boom_core_top_boom_core_cycle_io_state_branch_state_br_alloc_lists_RAM_AUTO_1R1W.v:17-35","recovery state can outlive its control epoch"
"integer physical register file",RESET_INITIAL_ONLY,"RF contents are initialized only by readmemh","boom_core_top_boom_core_cycle_io_state_int_rf_RAM_AUTO_1R1W.v:20-46","retention is unsafe because maps/free/busy state is not coherently reset"
"execute-result slots and valids",RESET_INITIAL_ONLY,"result valid and payload RAMs ignore reset","boom_core_top_boom_core_cycle_io_state_execute_alu_results_valid_RAM_AUTO_1R1W.v:17-35","stale result/branch/memory state can be consumed after restart"
"LDQ/STQ pointers and counts",RESET_INITIAL_ONLY,"queue occupancy metadata survives reset","boom_core_top_boom_core_cycle_io.v:1665-1668,8707-8710,23348-23362,23396-23410","queues are not emptied by runtime reset"
"LDQ/STQ entries and status",RESET_INITIAL_ONLY,"valid, pending, completed, address, data, and commit RAMs ignore reset","boom_core_top_boom_core_cycle_io.v:12590,12646-12660,12744,12772-12828","pre-reset transactions can remain logically active"
"pending load transaction bookkeeping",RESET_INITIAL_ONLY,"pending flag, ROB index, and transaction ID survive reset","boom_core_top_boom_core_cycle_io.v:1552-1559,2980,8704-8706,8723,23364-23394","transport reset can become inconsistent with retained LSU transaction state"
"branch active mask and snapshot/tag valids",RESET_INITIAL_ONLY,"active branch state survives reset","boom_core_top_boom_core_cycle_io.v:2138,8722,23284-23290,14224,14328","old branch epoch can affect post-reset recovery"
"branch update valid/mispredict",RESET_EXPLICIT,"valid and mispredict clear; target/masks remain initial-only","boom_core_top_boom_core_cycle_io.v:23238-23259,23456-23472","cleared valid is insufficient because producers and recovery stores survive"
"CSR cycle counter",RESET_EXPLICIT,"returns to zero on ap_rst","boom_core_top_boom_core_cycle_io.v:162,8698,23262-23269","counter reset is coherent but does not reset the machine"
"internal stream FIFO occupancy",RESET_EXPLICIT,"read/write pointers and empty/full state reset","boom_core_top_fifo_w518_d2_S.v:73-106","pre-reset internal beats are discarded"
"internal stream FIFO payload",RESET_BY_VALID,"payload is retained but FIFO is marked empty","boom_core_top_fifo_w518_d2_S.v:25-38,82-88","retained payload is inaccessible after reset"
"AXIS register-slice control",RESET_EXPLICIT,"selectors and occupancy state reset","boom_core_top_regslice_both.v:42-79,155-191","pre-reset interface beats are invalidated"
"AXIS register-slice payload",RESET_BY_VALID,"payload is retained behind reset validity state","boom_core_top_regslice_both.v:82-95","retained payload is inaccessible after reset"
