# BOOM-HLS Module Equivalence Mapping, Gate 4.0 W4 Final 2026-08-04
BOOM Module,FIRRTL Module,HLS Function,HLS File,Status,Functional,Cycle,Missing Behavior,Evidence
IssueUnitCollapsing_FPU,IssueUnitCollapsing,NOT IMPLEMENTED,-,STUB,NOT_IMPLEMENTED,NOT_IMPLEMENTED,"No FPU IQ",-
RegisterRead,RegisterReadDecode,execute_module,execute.cpp+completion.cpp,PARTIAL,PARTIALLY_VERIFIED,MISMATCH,"Three validated bypass ports implemented; no full BOOM register-read pipeline or replay timing","W4 peak bypass 3; exact bypass publications 17309"
Int RegisterFile,RegisterFileSynthesizable_1,int_rf_bank0+int_rf_bank1+int_rf_latest_bank,boom_state.hpp+completion.cpp,IMPLEMENTED,PARTIALLY_VERIFIED,MISMATCH,"One logical 52-entry RF maps to two replicated 52x64 banks plus LVT; read-port timing differs from BOOM","Two independent write enables; final write stage II=1"
Completion,Rob+writeback,completion_service_cycle,completion.cpp,PARTIAL,PARTIALLY_VERIFIED,MISMATCH,"Three integer-scope completion ports and two physical writes; FP-domain ports excluded","Directed 95/95; random 128/128; focused RTL 20/20"
ALUExeUnit_Int,ALUExeUnit,execute_module,execute.cpp,PARTIAL,PARTIALLY_VERIFIED,MISMATCH,"No div/mul latency model; branch prediction simplified; no BOOM cycle trace","ALU/branch/JAL/JALR tests PASS; Gate 3.3 killed writeback suppression tests PASS"
CSRFile,CSRFile,csr_module,csr.cpp,PARTIAL,PARTIALLY_VERIFIED,PARTIAL,"Only cycle/instret and ECALL handling subset",CSR tests PASS
BranchDecode,BranchDecode,decode_module branch cases,decode.cpp,PARTIAL,PARTIALLY_VERIFIED,MISMATCH,"No predictor metadata; branch masks are handled by rename/recovery, not full BOOM predictor flow","taken/not-taken regressions PASS; Gate 3.3 branch mask tests PASS"
BranchRecovery,BranchMaskGenerationLogic+BrUpdate,branch_module+recover_mispredict,branch.cpp+rename.cpp,PARTIAL,PARTIALLY_VERIFIED,INSUFFICIENT_EVIDENCE,"Strict BOOM event/cycle trace unavailable; full memory/predictor interactions absent","Gate 3.5 variants preserve branch snapshot directed 30/30 PASS; expanded random 42/42 PASS; no accepted PPA optimization"
LSU,LSU,lsu_module,lsu.cpp,PARTIAL,PARTIALLY_VERIFIED,MISMATCH,"Minimal LB/LBU/LH/LHU/LW/LWU/LD and SB/SH/SW/SD only; no DCache, TLB/PTW, miss/replay, misaligned split, AMO/LRSC, or full forwarding","LSU tests 14/14 PASS; full loaded-program diff 10/10 PASS; Gate 3.3 diagnostic csynth PASS; branch kill tests PASS"
FPU,FPU+FPUFMAPipe+FMA,NOT IMPLEMENTED,-,STUB,NOT_IMPLEMENTED,NOT_IMPLEMENTED,"No FPU",-
Branch Predictor,BranchPredictor+ComposedBP,NOT IMPLEMENTED,-,STUB,NOT_IMPLEMENTED,NOT_IMPLEMENTED,"Always not-taken/no predictor structures",-
ICache,ICache,NOT IMPLEMENTED,-,STUB,NOT_IMPLEMENTED,NOT_IMPLEMENTED,"Ideal imem request/response only",-
DCache,BoomNonBlockingDCache,NOT IMPLEMENTED,-,STUB,NOT_IMPLEMENTED,NOT_IMPLEMENTED,"No data cache",-
TLB,TLB,NOT IMPLEMENTED,-,STUB,NOT_IMPLEMENTED,NOT_IMPLEMENTED,"No address translation",-
PTW/Sv39,implicit,NOT IMPLEMENTED,-,STUB,NOT_IMPLEMENTED,NOT_IMPLEMENTED,"No page-table walker",-
